epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2377.95,0.58317,0.59501,0.89623,0.99054,0.99185,0.995,0.88519,0.52071,0.59567,0.83181,0.000389938,0.000389938,0.000389938
141,2392.9,0.55676,0.55607,0.85966,0.99054,0.99185,0.995,0.88519,0.52071,0.59567,0.83181,0.00038375,0.00038375,0.00038375
142,2408.31,0.60664,0.63461,0.90792,0.98652,0.99356,0.99473,0.9023,0.48576,0.57458,0.82642,0.000377563,0.000377563,0.000377563
143,2424.9,0.60819,0.59266,0.90758,0.98652,0.99356,0.99473,0.9023,0.48576,0.57458,0.82642,0.000371375,0.000371375,0.000371375
144,2441.89,0.61249,0.59491,0.9028,0.9851,0.99704,0.99473,0.90557,0.4738,0.57385,0.82811,0.000365188,0.000365188,0.000365188
145,2457.83,0.58725,0.57002,0.89704,0.9851,0.99704,0.99473,0.90557,0.4738,0.57385,0.82811,0.000359,0.000359,0.000359
146,2473.94,0.56425,0.55153,0.88031,0.98682,0.99487,0.99473,0.88195,0.50425,0.57314,0.86575,0.000352812,0.000352812,0.000352812
147,2492.93,0.62052,0.61543,0.93193,0.98682,0.99487,0.99473,0.88195,0.50425,0.57314,0.86575,0.000346625,0.000346625,0.000346625
148,2509.75,0.60166,0.63799,0.94259,0.99291,0.97475,0.99421,0.87748,0.51766,0.57354,0.8814,0.000340438,0.000340438,0.000340438
149,2526.48,0.56017,0.54912,0.88716,0.99291,0.97475,0.99421,0.87748,0.51766,0.57354,0.8814,0.00033425,0.00033425,0.00033425
150,2541.99,0.55567,0.53794,0.88198,0.99359,0.97417,0.99398,0.86027,0.54731,0.58441,0.89656,0.000328063,0.000328063,0.000328063
151,2558.14,0.5685,0.58852,0.88157,0.99359,0.97417,0.99398,0.86027,0.54731,0.58441,0.89656,0.000321875,0.000321875,0.000321875
152,2573.66,0.59241,0.57904,0.89244,0.99335,0.97431,0.99398,0.86574,0.53213,0.58931,0.89611,0.000315687,0.000315687,0.000315687
153,2588.38,0.60027,0.56849,0.89103,0.99335,0.97431,0.99398,0.86574,0.53213,0.58931,0.89611,0.0003095,0.0003095,0.0003095
154,2603.66,0.56392,0.55104,0.8968,0.99357,0.97503,0.99446,0.87675,0.51964,0.58136,0.8847,0.000303313,0.000303313,0.000303313
155,2618.97,0.54649,0.55792,0.90468,0.99357,0.97503,0.99446,0.87675,0.51964,0.58136,0.8847,0.000297125,0.000297125,0.000297125
156,2634.72,0.63404,0.56352,0.8988,0.9928,0.97533,0.99446,0.88124,0.5069,0.58308,0.85008,0.000290937,0.000290937,0.000290937
157,2650.94,0.55218,0.55456,0.89402,0.9928,0.97533,0.99446,0.88124,0.5069,0.58308,0.85008,0.00028475,0.00028475,0.00028475
158,2666.41,0.58904,0.55883,0.89836,0.98464,0.99109,0.99473,0.90824,0.47253,0.56104,0.83394,0.000278562,0.000278562,0.000278562
159,2681.87,0.56488,0.53616,0.87207,0.98464,0.99109,0.99473,0.90824,0.47253,0.56104,0.83394,0.000272375,0.000272375,0.000272375
160,2697.72,0.58842,0.54225,0.90067,0.9844,0.99398,0.99473,0.90662,0.44414,0.54985,0.82839,0.000266187,0.000266187,0.000266187
161,2713.54,0.52255,0.49691,0.84065,0.9844,0.99398,0.99473,0.90662,0.44414,0.54985,0.82839,0.00026,0.00026,0.00026
162,2731.08,0.57407,0.55125,0.89602,0.98204,0.99595,0.99473,0.90934,0.43665,0.54678,0.82561,0.000253812,0.000253812,0.000253812
163,2748.26,0.54124,0.54331,0.90619,0.98204,0.99595,0.99473,0.90934,0.43665,0.54678,0.82561,0.000247625,0.000247625,0.000247625
164,2763.99,0.55169,0.54086,0.86989,0.98203,0.99713,0.99473,0.91034,0.43558,0.53878,0.8233,0.000241438,0.000241438,0.000241438
165,2779.41,0.53269,0.56887,0.89251,0.98203,0.99713,0.99473,0.91034,0.43558,0.53878,0.8233,0.00023525,0.00023525,0.00023525
166,2795.37,0.55308,0.5275,0.87966,0.98264,0.99863,0.99473,0.91356,0.4303,0.52977,0.82119,0.000229063,0.000229063,0.000229063
167,2810.65,0.59652,0.57969,0.8952,0.98264,0.99863,0.99473,0.91356,0.4303,0.52977,0.82119,0.000222875,0.000222875,0.000222875
168,2825.95,0.55722,0.58596,0.88891,0.98181,0.99832,0.99473,0.91372,0.43045,0.52851,0.82049,0.000216688,0.000216688,0.000216688
169,2841.27,0.63756,0.59198,0.95143,0.98181,0.99832,0.99473,0.91372,0.43045,0.52851,0.82049,0.0002105,0.0002105,0.0002105
170,2856.39,0.48639,0.50401,0.849,0.9814,0.99801,0.99473,0.91583,0.41865,0.52279,0.81801,0.000204313,0.000204313,0.000204313
171,2872.53,0.48926,0.52909,0.88647,0.9814,0.99801,0.99473,0.91583,0.41865,0.52279,0.81801,0.000198125,0.000198125,0.000198125
172,2889.49,0.51593,0.55568,0.88479,0.98164,0.99872,0.99473,0.92865,0.39854,0.51343,0.81422,0.000191938,0.000191938,0.000191938
173,2905.16,0.5059,0.53665,0.87173,0.98164,0.99872,0.99473,0.92865,0.39854,0.51343,0.81422,0.00018575,0.00018575,0.00018575
174,2920.76,0.53592,0.52438,0.86882,0.99541,0.99656,0.995,0.93008,0.39528,0.51004,0.81247,0.000179563,0.000179563,0.000179563
175,2935.76,0.48449,0.55974,0.87252,0.99541,0.99656,0.995,0.93008,0.39528,0.51004,0.81247,0.000173375,0.000173375,0.000173375
176,2951,0.52128,0.5275,0.87977,0.99586,0.99727,0.995,0.93084,0.39456,0.50683,0.8114,0.000167188,0.000167188,0.000167188
177,2966.8,0.48357,0.53132,0.85221,0.99586,0.99727,0.995,0.93084,0.39456,0.50683,0.8114,0.000161,0.000161,0.000161
178,2981.76,0.50337,0.51609,0.86573,0.99621,0.99736,0.995,0.93322,0.3839,0.50066,0.81028,0.000154812,0.000154812,0.000154812
179,2996.78,0.48101,0.48967,0.8559,0.99621,0.99736,0.995,0.93322,0.3839,0.50066,0.81028,0.000148625,0.000148625,0.000148625
180,3011.91,0.51673,0.5305,0.87613,0.99612,0.99752,0.995,0.93545,0.37629,0.49278,0.80987,0.000142437,0.000142437,0.000142437
181,3026.97,0.50399,0.52993,0.88,0.99612,0.99752,0.995,0.93545,0.37629,0.49278,0.80987,0.00013625,0.00013625,0.00013625
182,3043.84,0.49956,0.54923,0.87497,0.99549,0.99688,0.995,0.93249,0.379,0.49093,0.81108,0.000130062,0.000130062,0.000130062
183,3061.12,0.51405,0.52215,0.8599,0.99549,0.99688,0.995,0.93249,0.379,0.49093,0.81108,0.000123875,0.000123875,0.000123875
