epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3544.34,0.55932,0.35533,0.82678,0.99962,1,0.995,0.89025,0.49627,0.3191,0.79466,0.0003764,0.0003764,0.0003764
84,3588.56,0.56566,0.34688,0.818,0.99963,1,0.995,0.8889,0.50262,0.31763,0.79409,0.0003566,0.0003566,0.0003566
85,3633.19,0.54902,0.33313,0.80791,0.99964,1,0.995,0.88909,0.50148,0.31838,0.79314,0.0003368,0.0003368,0.0003368
86,3682.08,0.54743,0.34299,0.81635,0.99963,1,0.995,0.88751,0.50851,0.31974,0.7948,0.000317,0.000317,0.000317
87,3726.39,0.54195,0.33959,0.82293,0.99964,1,0.995,0.88481,0.50692,0.31696,0.79461,0.0002972,0.0002972,0.0002972
88,3771.51,0.56411,0.3375,0.82425,0.99964,1,0.995,0.88901,0.50032,0.31654,0.79334,0.0002774,0.0002774,0.0002774
89,3815.04,0.54226,0.34404,0.81316,0.99963,1,0.995,0.89069,0.50581,0.31801,0.79522,0.0002576,0.0002576,0.0002576
90,3858.62,0.54965,0.33505,0.8288,0.99963,1,0.995,0.89142,0.49825,0.31638,0.79471,0.0002378,0.0002378,0.0002378
91,3915.36,0.52985,0.33677,0.81824,0.99963,1,0.995,0.8876,0.49794,0.31741,0.7938,0.000218,0.000218,0.000218
92,3964.16,0.5143,0.32584,0.80266,0.99961,1,0.995,0.88734,0.49911,0.32154,0.79308,0.0001982,0.0001982,0.0001982
93,4009.43,0.51521,0.32042,0.79925,0.99961,1,0.995,0.88901,0.49858,0.31988,0.79271,0.0001784,0.0001784,0.0001784
94,4054.98,0.50668,0.31664,0.79929,0.99962,1,0.995,0.89024,0.49831,0.31457,0.79331,0.0001586,0.0001586,0.0001586
95,4099.62,0.51885,0.32157,0.80907,0.99962,1,0.995,0.88843,0.49662,0.3113,0.79353,0.0001388,0.0001388,0.0001388
96,4143.8,0.51212,0.3171,0.80443,0.99963,1,0.995,0.88657,0.49777,0.30886,0.79433,0.000119,0.000119,0.000119
97,4188.17,0.49628,0.3138,0.80388,0.99964,1,0.995,0.8869,0.49653,0.30671,0.79436,9.92e-05,9.92e-05,9.92e-05
98,4233.9,0.50271,0.30719,0.80829,0.99964,1,0.995,0.88523,0.49529,0.30255,0.79433,7.94e-05,7.94e-05,7.94e-05
99,4278.7,0.51158,0.31302,0.81018,0.99964,1,0.995,0.88504,0.49488,0.30132,0.79455,5.96e-05,5.96e-05,5.96e-05
100,4323.74,0.51554,0.31461,0.80006,0.99964,1,0.995,0.88642,0.49417,0.30024,0.79451,3.98e-05,3.98e-05,3.98e-05
