epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
34,20.8874,1.74893,0.71429,1,1.6432,0.000158643,0.000158643,0.000158643
35,21.4949,1.80741,0.71429,1,1.57725,0.000161047,0.000161047,0.000161047
36,22.0949,1.8567,0.71429,1,1.57725,0.00016331,0.00016331,0.00016331
37,22.6946,1.88746,0.71429,1,1.51147,0.000165431,0.000165431,0.000165431
38,23.3038,1.55993,0.71429,1,1.51147,0.000167411,0.000167411,0.000167411
39,23.9233,1.62374,0.71429,1,1.43835,0.000169249,0.000169249,0.000169249
40,24.5009,1.67319,0.71429,1,1.43835,0.000170947,0.000170947,0.000170947
41,25.0991,1.51608,0.71429,1,1.36525,0.000172502,0.000172502,0.000172502
42,25.7161,1.74235,0.71429,1,1.36525,0.000173917,0.000173917,0.000173917
43,26.3333,1.49153,0.71429,1,1.30485,0.00017519,0.00017519,0.00017519
44,26.9073,1.4983,0.71429,1,1.30485,0.000176322,0.000176322,0.000176322
45,27.5226,1.55106,0.71429,1,1.2529,0.000177312,0.000177312,0.000177312
46,28.1261,1.37264,0.71429,1,1.2529,0.000178161,0.000178161,0.000178161
47,28.7395,1.29359,0.85714,1,1.19463,0.000178868,0.000178868,0.000178868
48,29.3152,1.32546,0.85714,1,1.19463,0.000179435,0.000179435,0.000179435
49,29.9156,1.42831,0.85714,1,1.13116,0.000179859,0.000179859,0.000179859
50,30.5795,1.33695,0.85714,1,1.13116,0.000180143,0.000180143,0.000180143
51,31.1839,1.42321,1,1,1.06283,0.000180285,0.000180285,0.000180285
52,31.7677,1.447,1,1,1.06283,0.000180286,0.000180286,0.000180286
53,32.3543,1.46087,1,1,1.06283,0.000180145,0.000180145,0.000180145
54,32.9582,1.33142,1,1,1.0104,0.000179863,0.000179863,0.000179863
55,33.5376,1.24961,1,1,1.0104,0.00017944,0.00017944,0.00017944
56,34.178,1.26885,1,1,1.0104,0.000178875,0.000178875,0.000178875
57,34.8607,1.11518,1,1,0.9568,0.000178169,0.000178169,0.000178169
58,35.4933,1.11488,1,1,0.9568,0.000177321,0.000177321,0.000177321
59,36.121,1.32005,1,1,0.9568,0.000176332,0.000176332,0.000176332
60,36.736,1.13773,1,1,0.90391,0.000175202,0.000175202,0.000175202
61,37.3993,1.23019,1,1,0.90391,0.00017393,0.00017393,0.00017393
62,38.0062,1.12758,1,1,0.90391,0.000172517,0.000172517,0.000172517
63,38.6336,1.21569,1,1,0.84611,0.000170963,0.000170963,0.000170963
64,39.2727,1.19268,1,1,0.84611,0.000169267,0.000169267,0.000169267
65,39.854,1.07698,1,1,0.84611,0.00016743,0.00016743,0.00016743
66,40.4739,1.01115,1,1,0.79423,0.000165452,0.000165452,0.000165452
67,41.0509,1.01877,1,1,0.79423,0.000163332,0.000163332,0.000163332
68,41.6407,1.09052,1,1,0.79423,0.000161071,0.000161071,0.000161071
69,42.3482,1.01573,1,1,0.73385,0.000158668,0.000158668,0.000158668
70,43.0462,0.89678,1,1,0.73385,0.000156124,0.000156124,0.000156124
71,43.7281,0.95575,1,1,0.73385,0.000153439,0.000153439,0.000153439
72,44.362,1.06123,1,1,0.68817,0.000150612,0.000150612,0.000150612
